Dirección,Región,Comuna,lat,lon,Potencia (en kW) Electrolinera,Tipo corriente,Potencia (en kW) cargador,Zcap,id_candidata,distancia,cargadores,infraestructura
andr¿s bello 1863,metropolitana,Providencia,-33.42294,-70.61701,14,AC,7,2,445,12.311181084386995,2,True
andr¿s bello 2461,metropolitana,Providencia,-33.4203,-70.61128,14,AC,7,2,91,164.69683887734345,2,True
av. francisco bilbao 451,metropolitana,Providencia,-33.4418,-70.62604,22,AC,22,1,68,16.350704796479448,1,True
avenida francisco bilbao 1439,metropolitana,Providencia,-33.43934,-70.61451,7,AC,7,1,371,53.552975333545,1,True
avenida providencia 1909,metropolitana,Providencia,-33.42508,-70.61364,7,AC,7,3,185,1.693694748831688,3,True
avenida providencia 2001,metropolitana,Providencia,-33.42361,-70.61207,7,AC,7,3,28,19.556681053313596,3,True
avenida providencia 2099,metropolitana,Providencia,-33.4213,-70.60905,7,AC,7,3,282,45.74111775507908,3,True
avenida providencia 2203,metropolitana,Providencia,-33.42187,-70.6098,7,AC,7,3,29,14.09184592853752,3,True
avenida ricardo lyon 25,metropolitana,Providencia,-33.42198,-70.60989,22,AC,22,3,29,28.420848428054068,3,True
avenida ricardo lyon 322,metropolitana,Providencia,-33.4246,-70.6085,22,AC,22,2,116,88.25297383397069,2,True
avenida santa maria 1742,metropolitana,Providencia,-33.4219,-70.62115,22,AC,22,2,64,67.25314743143393,2,True
guardia vieja 285,metropolitana,Providencia,-33.4249,-70.6098,22,AC,22,2,89,81.33382870499842,2,True
miguel claro 275,metropolitana,Providencia,-33.43204,-70.62044,"7,4",AC,"7,4",2,406,121.1390295673971,2,True
pedro de valdivia norte 699,metropolitana,Providencia,-33.41533,-70.61739,44,AC,22,2,70,24.540333786586434,2,True
santa isabel 168,metropolitana,Providencia,-33.44679,-70.62932,24,DC,24,4,146,23.75232122130858,4,True
