name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Copec,fuel,,,,Renca,-70.7149068,-33.402296400000004,fuel,10
Dynamo,fuel,,,,Renca,-70.7210261,-33.401144800000004,fuel,10
Copec,fuel,,,,Renca,-70.6932951,-33.40922370000001,fuel,10
,parking,,,,Renca,-70.7814333,-33.40486179999999,parking,25
Shell,fuel,,,,Renca,-70.6808612,-33.40591839999998,fuel,10
Era,fuel,,,,Renca,-70.6799251,-33.41262979999999,fuel,10
Copec Voltex,charging_station,,,,Renca,-70.7312256,-33.403026600000004,charging_station,30
Enel X,charging_station,,,,Renca,-70.7005387,-33.406454499999995,charging_station,30
Inacap (Sede Renca),university,,,,Renca,-70.6829685457542,-33.405729507267424,university,10
,parking,,,,Renca,-70.7045662239891,-33.40555382051125,parking,25
Super10,,supermarket,yes,,Renca,-70.75461247857928,-33.39917052663627,supermarket,10
Estacionamiento Super10,parking,,,,Renca,-70.75473660096424,-33.39948144154949,parking,25
,,,commercial,,Renca,-70.70578283293594,-33.404240656563914,commercial,10
Vive Fitness,,,commercial,sports_centre,Renca,-70.7061028819642,-33.40410247300852,commercial,10
,,,commercial,,Renca,-70.71219554001078,-33.40271790420171,commercial,10
,,,commercial,,Renca,-70.72105866558508,-33.40224717539216,commercial,10
,,,commercial,,Renca,-70.72160197198232,-33.400946582703405,commercial,10
,,,commercial,,Renca,-70.72122603203432,-33.40084323170582,commercial,10
,,,commercial,,Renca,-70.72131633527285,-33.400495770113125,commercial,10
Orange,fuel,,roof,,Renca,-70.7430207303618,-33.40096614990273,fuel,10
,,,commercial,,Renca,-70.69890863225764,-33.39889169810112,commercial,10
Acuenta,,supermarket,yes,,Renca,-70.7029631499953,-33.402424000207546,supermarket,10
,,,commercial,,Renca,-70.74015373332426,-33.39938503336463,commercial,10
Unimarc,,supermarket,yes,,Renca,-70.74422387785589,-33.400330993728694,supermarket,10
,,,commercial,,Renca,-70.75746830113017,-33.38736399966897,commercial,10
,,,commercial,,Renca,-70.75746830113017,-33.38736399966897,commercial,10
,,,retail,,Renca,-70.74455985541844,-33.404121249429906,retail,6
Santa Isabel,,supermarket,yes,,Renca,-70.70114772830615,-33.40679408766161,supermarket,10
Petrobras,fuel,,roof,,Renca,-70.70016462777481,-33.40650328129461,fuel,10
Alvi,,supermarket,yes,,Renca,-70.69937942844685,-33.406521265414256,supermarket,10
,,,retail,,Renca,-70.69279454203854,-33.408968784915054,retail,6
,,,commercial,,Renca,-70.73106388359372,-33.40749502195586,commercial,10
,,,retail,,Renca,-70.69475748197068,-33.40865305150549,retail,6
,,,commercial,,Renca,-70.67843070674535,-33.42276349367479,commercial,10
Lider,,supermarket,yes,,Renca,-70.75873853833178,-33.399777918644155,supermarket,10
,parking,,,,Renca,-70.75829239697072,-33.39931821534935,parking,25
,parking,,,,Renca,-70.68335764976412,-33.40495925049362,parking,25
,parking,,,,Renca,-70.70159832672196,-33.406040076962235,parking,25
,parking,,,,Renca,-70.78131283216356,-33.40661560544339,parking,25
Copec,fuel,,,,Renca,-70.75912427228056,-33.3864639397859,fuel,10
Estadio Newen (ex Estadio Lo Velásquez),,,,stadium,Renca,-70.73965051116608,-33.4076499924834,stadium,20
Estadio Rafael Rivas,,,,stadium,Renca,-70.72054304976677,-33.39976941313173,stadium,20
,parking,,,,Renca,-70.74168504277758,-33.40413575835494,parking,25
,parking,,,,Renca,-70.68167683187437,-33.40783450262019,parking,25
,parking,,,,Renca,-70.68537756073265,-33.39983843143923,parking,25
,parking,,,,Renca,-70.68666431044167,-33.39623068928299,parking,25
,parking,,,,Renca,-70.74371387889414,-33.40049842569621,parking,25
Unimarc,,supermarket,yes,,Renca,-70.71439052905305,-33.40168645737009,supermarket,10
,parking,,,,Renca,-70.71452031762237,-33.4019360568055,parking,25
,,,commercial,,Renca,-70.74574309487114,-33.40175829091761,commercial,10
