Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
alejandro fleming n/a;metropolitana;Las Condes;-3.342.545;-7.055.409;48;AC;22;2
alonso de cordova 6050;metropolitana;Las Condes;-3.340.788;-7.056.829;22;AC;22;2
av, manquehue sur 1590;metropolitana;Las Condes;-3.342.487;-7.056.338;22;AC;22;3
av. apoquindo #4900;metropolitana;Las Condes;-3.341.159;-7.057.807;44;AC;22;2
av. las condes 11049;metropolitana;Las Condes;-3.337.999;-7.052.888;7,4;AC;7,4;2
av. las condes 12145;metropolitana;Las Condes;-3.337.418;-705.198;43,56;AC;22;2
av. padre hurtado sur #875, piso -2;metropolitana;Las Condes;-3.341.512;-705.405;7;AC;7;1
av. plaza n/a;metropolitana;Las Condes;-333.927;-7.050.372;48;AC;22;2
av. presidente kennedy lateral 5055;metropolitana;Las Condes;-3.340.249;-7.058.085;14;AC;7;2
avenida americo vespucio sur 345;metropolitana;Las Condes;-3.341.832;-7.058.336;7,4;AC;7,4;2
avenida apoquindo 5680;metropolitana;Las Condes;-3.340.941;-7.057.111;22;AC;22;2
avenida las condes 10462;metropolitana;Las Condes;-3.338.263;-705.334;7,4;AC;7,4;2
avenida las condes 13451;metropolitana;Las Condes;-3.337.041;-7.050.717;6,6;AC;6,6;4
avenida las condes 9595;metropolitana;Las Condes;-3.338.842;-7.053.921;22;AC;22;3
avenida padre hurtado sur 1621;metropolitana;Las Condes;-3.342.325;-7.053.849;70;DC;60;2
avenida presidente errazuriz s/n;metropolitana;Las Condes;-3.341.885;-705.837;45;AC;22;2
avenida presidente riesco s/n;metropolitana;Las Condes;-3.340.137;-7.056.781;45;AC;22;4
avenida vitacura 2610;metropolitana;Las Condes;-3.341.649;-7.060.496;7,4;AC;7,4;2
avenida vitacura 2885;metropolitana;Las Condes;-3.341.251;-7.060.296;7,7;AC;7,7;2
cerro colorado s/n;metropolitana;Las Condes;-3.340.423;-70,58;45;AC;22;2
cerro el plomo 5931;metropolitana;Las Condes;-3.340.446;-705.705;7,4;AC;7,4;8
colon 4333;metropolitana;Las Condes;-3.342.377;-7.058.047;55;DC;50;3
cristobal colon 7550;metropolitana;Las Condes;-3.341.754;-7.055.222;70;DC;50;5
el alcalde 15;metropolitana;Las Condes;-334.159;-7.059.524;22;AC;22;2
enrique foster 21;metropolitana;Las Condes;-3.341.556;-7.059.412;7;AC;7;2
isidora goyenechea 2939;metropolitana;Las Condes;-3.341.422;-7.060.025;3,5;AC;3,5;4
juan de austria n/a;metropolitana;Las Condes;-3.343.089;-7.057.912;48;AC;22;2
kennedy 4601;metropolitana;Las Condes;-3.340.395;-7.058.281;44;AC;22;2
la castellana sur s/n;metropolitana;Las Condes;-3.341.191;-7.057.688;45;AC;22;2
los militares 4611;metropolitana;Las Condes;-3.341.278;-7.058.235;22;AC;22;2
los militares 4661;metropolitana;Las Condes;-334.121;-7.058.118;7;AC;7;2
mar de los sargazos s/n;metropolitana;Las Condes;-3.341.039;-7.056.998;45;AC;22;2
patagonia 75;metropolitana;Las Condes;-3.340.918;-7.054.478;50;DC;50;3
presidente errazuriz n/a;metropolitana;Las Condes;-3.342.129;-705.953;48;AC;22;4
presidente kennedy 5413;metropolitana;Las Condes;-334.018;-7.057.972;14;AC;7;2
presidente kennedy 5601;metropolitana;Las Condes;-3.340.118;-7.057.539;14;AC;7;6
presidente kennedy 5741;metropolitana;Las Condes;-3.339.999;-7.057.428;22;AC;22;1
presidente riesco 5330;metropolitana;Las Condes;-3.339.742;-7.055.966;7;AC;7;18
presidente riesco con rosario norte (av. pdte. riesco #5810);metropolitana;Las Condes;-3.340.388;-7.057.396;44;AC;44;2
rosario norte 530;metropolitana;Las Condes;-3.340.513;-7.057.304;22;AC;22;3
san carlos de apoquindo 2300;metropolitana;Las Condes;-3.340.417;-7.050.836;44;AC;22;2
san ramon 2701;metropolitana;Las Condes;-3.340.754;-7.051.114;21,78;AC;11;2
