comuna,estaciones,cargadores_totales,paneles_totales,lat_centro,lon_centro
las_condes,42,218,150,-33.40726468899916,-70.56443158029957
providencia,15,41,80,-33.42695665756672,-70.61518490733765
santiago,13,52,40,-33.442720835636166,-70.64828251335447
vitacura,13,43,25,-33.38867638214046,-70.57686745145618
pudahuel,9,48,30,-33.43765878422972,-70.78904651094737
lo_barnechea,8,23,150,-33.3524312355931,-70.52936102094552
maipu,8,64,50,-33.51720895598784,-70.76428890726667
huechuraba,7,16,30,-33.37510523383112,-70.65023189505386
la_reina,6,19,30,-33.44413325924787,-70.54641653669614
independencia,5,10,43,-33.421380516169535,-70.65920018016087
colina,5,14,50,-33.27429698141411,-70.68319989618332
estacion_central,4,10,50,-33.453793653438964,-70.69181704170921
san_bernardo,4,21,0,-33.64509927500001,-70.71934615
macul,4,11,0,-33.48922540011589,-70.60078285421093
puente_alto,4,32,0,-33.58346044205473,-70.56662359670736
quilicura,3,8,0,-33.35150597108091,-70.71416935457187
penalolen,3,10,0,-33.49277940474011,-70.54372555159067
recoleta,2,6,0,-33.41388492009427,-70.63177385593775
quinta_normal,2,4,0,-33.42542292127125,-70.6980279696324
cerrillos,2,8,0,-33.505690629811724,-70.71155592917893
cerro_navia,2,5,0,-33.42211465127047,-70.74258861390886
lampa,2,5,0,-33.26048229748967,-70.81565142329134
la_florida,2,10,0,-33.53137619336381,-70.5751175281282
la_cisterna,2,4,0,-33.539884784408535,-70.66406776846613
el_bosque,2,4,0,-33.553801103352626,-70.669179790582
penaflor,1,2,0,-33.6075697,-70.8992515
san_joaquin,1,2,0,-33.5000716,-70.616603
san_jose_de_maipo,1,2,0,-33.641141299999994,-70.3526572
san_miguel,1,2,0,-33.512128,-70.6569316
nunoa,1,3,0,-33.45610162469032,-70.59817860810593
